feature,mean_absolute_raw_score_contribution
broad0_active_global_mean__min,0.0
broad0_active_global_mean__max,0.0
broad0_active_global_mean__mean,0.0
broad0_active_rank__min,0.0
amount0_own_semantic_global_maximum__max,0.0
broad0_active_rank__mean,0.0
broad0_count_global_minimum__min,0.0
broad0_count_global_minimum__mean,0.0
broad0_count_global_minimum__max,0.0
broad0_count_global_maximum__mean,0.0
broad0_count_global_mean__min,0.0
broad0_count_global_mean__max,0.0
broad0_count_global_maximum__max,0.0
broad0_count_rank__min,0.0
broad0_next_active_global_minimum__max,0.0
stream_count__min,0.0
amount0_refund_count30__max,0.0
broad0_refund_ratio__min,0.0
broad0_count__min,0.0
broad0_own_mcc_per_event__min,0.0
broad0_last_fee__min,0.0
amount0_refund_count90__min,0.0
amount0_refund_count30__min,0.0
amount0_next_active__max,0.0
amount0_period_rounded__min,0.0
amount0_period_rounded__max,0.0
amount0_own_semantic_per_event__min,0.0
amount0_own_mcc_per_event__min,0.0
amount0_own_template_diversity_per_event__min,0.0
amount0_own_template_count_per_event__min,0.0
broad0_active__min,0.0
amount0_amount_cv_global_minimum__max,0.0
amount0_amount_cv_global_minimum__mean,0.0
amount1_count_30__min,0.0
amount1_count_30__max,0.0
amount0_other_semantic__min,0.0
amount0_price_support__min,0.0
amount0_last_age_rank__min,0.0
amount0_last_age_global_mean__mean,0.0
amount0_last_age_global_mean__max,0.0
amount0_last_age_global_mean__min,0.0
amount0_last_age_global_maximum__mean,0.0
amount0_last_age_global_maximum__max,0.0
amount0_last_age_global_minimum__mean,0.0
amount0_last_age_global_minimum__max,0.0
amount0_count_rank__min,0.0
amount0_count_global_mean__mean,0.0
amount0_count_global_mean__max,0.0
amount0_count_global_maximum__mean,0.0
broad0_next_active_rank__max,0.0
broad0_next_active_rank__mean,0.0
broad0_next_active_rank__min,0.0
broad0_next_active_global_mean__mean,0.0
broad0_count_global_mean__mean,0.0
broad0_next_active_global_mean__max,0.0
broad0_next_active_global_maximum__mean,0.0
broad0_next_active_global_maximum__max,0.0
broad0_next_active_global_maximum__min,0.0
broad0_next_active_global_minimum__mean,0.0
amount1_other_semantic__max,0.0
broad0_own_template_diversity_per_event__min,0.0
amount1_own_template_count__min,0.0
amount1_own_semantic__max,0.0
client_amount_std__mean,0.0
amount1_own_template_count__max,0.0
broad0_own_template_count_per_event__min,0.0
amount1_other_semantic__min,0.0
amount1_count_180__max,0.0
amount1_linear_period__min,0.0
amount1_gap_mean__min,0.0
amount1_gap_median__mean,0.0
client_type_fee__mean,0.0
amount1_gap_mean__max,0.0
amount0_active_global_minimum__mean,0.0
amount1_gap_mean__mean,0.0
amount0_active_global_minimum__min,0.0
amount0_active_global_minimum__max,0.0
amount0_active_global_mean__min,0.0
amount0_active_global_mean__max,0.0
amount0_active_global_mean__mean,0.0
amount0_active_rank__min,0.0
amount0_count_global_minimum__min,0.0
amount0_active_global_maximum__min,0.0
amount0_active_global_maximum__max,0.0
amount0_active_global_maximum__mean,0.0
amount0_count_global_maximum__max,0.0
amount0_count_global_minimum__mean,0.0
amount0_count_global_minimum__max,0.0
amount1_gap_std__mean,0.0
amount1_gap_cv__mean,0.0
amount1_amount_change__min,0.0
amount1_amount_change__mean,0.0
amount1_gap_std__min,0.0
amount1_active__mean,0.0
amount1_active__max,0.0
amount1_active__min,0.0
client_type_card_payment__mean,0.0
client_type_p2p_transfer__mean,0.0
amount1_next_recent__max,0.0
amount1_gap_recent__min,0.0
amount1_linear_residual__max,0.0
client_mcc_5732__mean,0.0
client_mcc_5411__mean,0.0
client_mcc_4814__mean,0.0
client_mcc_4111__mean,0.0
client_currency_gbp__mean,0.0
client_currency_usd__mean,0.0
client_currency_chf__mean,0.0
client_direction_out__mean,0.0
client_mcc_5912__mean,0.0
amount1_amount_cv__min,0.0
client_mcc_6011__max,0.0
client_mcc_6011__min,0.0
amount1_count__mean,0.0
amount1_amount_median__min,0.0
client_mcc_5734__mean,0.0
client_mcc_5812__mean,0.0
broad0_other_semantic__max,0.0
broad0_other_semantic__min,0.0
amount1_own_mcc_per_event__min,0.0
broad0_other_semantic__mean,0.0
amount1_own_template_diversity_per_event__min,0.0
amount1_own_template_count_per_event__min,0.0
amount1_own_template_count_per_event__mean,0.0
amount0_next_active_global_minimum__mean,0.0
amount0_next_active_global_maximum__min,0.0
amount0_next_active_global_maximum__max,0.0
amount0_next_active_global_maximum__mean,0.0
amount0_next_active_global_mean__max,0.0
client_mcc_6011__mean,0.0
client_mcc_6300__mean,0.0
amount1_count__min,0.0
amount1_count__max,0.0
broad0_price_support__max,0.0
amount0_next_active_rank__max,0.0
amount0_next_active_rank__min,0.0
amount0_next_active_global_mean__mean,0.0
client_count_180__mean,0.0
broad0_refund_after_last__min,0.0
client_count_60__mean,0.0
client_count_30__mean,0.0
broad0_refund_count90__min,0.0
broad0_refund_count30__min,0.0
amount1_price_support__max,0.0
amount1_next_active__max,0.0
amount1_period_rounded__min,0.0
amount1_period_rounded__max,0.0
broad0_refund_after_last__max,0.0
client_count_90__mean,0.0
amount1_own_semantic_per_event__min,0.0
amount1_period_rounded__mean,0.0
amount0_refund_after_last__max,0.0
amount0_refund_after_last__min,0.0
amount0_active__min,0.0
amount0_active__max,0.0
amount0_active__mean,0.0
amount1_price_support__min,0.0
amount0_last_fee__min,0.0
amount0_price_support__max,0.0
broad0_active__max,0.0
amount0_price_support__mean,0.0
broad0_active__mean,0.0
broad0_next_active__max,0.0
amount1_price_support__mean,0.0
broad0_own_semantic_per_event__min,0.0
